Name	P	Pdot	DM	RA	Dec	l	b	Burst Rate	log[B]	Age log[t]	Distance	S_140 MHz	S_350 MHz	S_1400 MHz	Pulse Width 140 MHz	Pulse Width 350 MHz	Pulse Width 1400 MHz	RM	Linear Polarzation	Survey
Name	s	10^-15 s/s	pc/cm^3	hh:mm:ss.s	dd:mm:ss.s	degree	degree	1/h	G	yr	kpc	mJy	mJy	mJy	ms	ms	ms	rad m^-2	%	
J1850+15	1.384	--	24.7	18:50:09	15:32	46.19	7.09	--	--	--	1.8	--	--	200	--	--	6	--	--	BS10
J1853+04	1.32065	--	549.3	18:53	04	36.67	1.48	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1854+0306	4.558	145	192.4	18:54:03	03:06:14	35.99	0.83	84	13.4	--	5.5	--	--	540	--	--	15.8	--	30	PALFA2 / K11
J1854-1557	3.453	4.52	150	18:54:54	-15:57:47	19.02	-7.95	25	--	--	4.75	--	--	50	--	--	65	-66	50	BS11
J1856+09	2.171	--	193.4	18:56	09	41.47	3.09	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1859+07	--	--	303.1	18:59	07	40.02	1.51	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1901+11	0.40914	--	268.9	19:01	11	43.81	2.90	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1905+0414	--	--	383	19:05	04:14	38.25	-1.08	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1905+09	0.218	--	433.4	19:05:20	9:02:32	42.5	1.1	--	--	--	6.9	--	--	--	--	--	--	--	--	PALFA
J1906+03	1.259	--	212	19:06	3	37.3	-1.9	105	--	--	5.3	--	--	--	--	--	2.58	--	--	PALFA
J1909+06	0.742	3.2239	36.7	19:09:29	06:41:26	40.91	-0.93	67	--	--	2.2	--	--	82	--	--	1.5	--	25	PALFA2
J1911+00	6.94	--	100	19:11:48	00:37	35.81	-4.25	0.31	--	--	3.3	--	--	250	--	--	5	--	--	PM1 / K11
J1912+08**	--	--	96	19:12	8	42.39	-0.89	1	--	--	3.6	--	--	--	--	--	1.31	--	--	PALFA
J1913+1330	0.923	8.68	175.64	19:13:18	13:30:33	47.42	1.38	4.71	12.4	6.2	5.7	--	--	650	--	--	2	945	40	PM1 / K11
J1915-11	2.177	--	91.06	19:15	-11:30	25.24	-10.39	--	--	--	2.8	--	--	--	--	2	--	--	--	GBT350
J1915+06	0.644	--	214.5	19:15	6	40.96	-2.47	183.5	--	--	6.2	--	--	--	--	--	5.71	--	--	PALFA
J1917+11	5.06	--	319	19:17	11	45.6	-0.6	39.3	--	--	7.8	--	--	--	--	--	4.15	--	--	PALFA
J1919+17	2.081	1.705	142.3	19:19:43	17:45:04	51.89	1.97	320	--	--	5.3	--	--	12	--	--	100	--	--	PALFA2
J1925-16	3.886	--	88	19:25:06	-16:01:00	22.13	-14.54	6.5	--	--	3	--	--	160	--	--	10	--	--	BS11
J1927+1725	0.290	0.336	136	19:27:57	17:24:38	52.52	0.10	--	11.5	7.1	4.9	--	--	--	--	--	5.2	--	--	PALFA
J1928+15**	0.403	--	242	19:28:20	15:13	50.64	-1.03	4	--	--	7.4	--	--	180	--	--	5	--	--	PALFA/ PALFA2
J1928+17	0.2898	--	136	19:28	17:25	52.54	0.09	380	--	--	4.9	--	--	--	--	--	0.364	--	--	PALFA
J1929+11	3.218	--	80	19:29	11	47	-3.18	39.3	--	--	3.5	--	--	--	--	--	1.75	--	--	PALFA
J1944-10	0.409	--	31.01	19:44	-10:17	29.53	-16.29	180	--	--	1.3	--	--	--	--	--	--	--	--	GBT350
J1946+24	4.729	--	96	19:46:00	23:58	60.31	-0.38	54	--	--	4.3	--	--	101	--	--	6	--	--	PALFA2
J1952+30	1.667	--	188.6	19:52	30:00	66.18	1.53	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1956-28	0.260	--	45.69	19:56	-27:53	13.22	-25.59	120	--	--	1.6	--	--	--	--	--	--	--	--	GBNCC
J1958+30	1.099	--	199.3	19:58	30	66.86	0.42	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J2000+29	3.074	--	132.5	20:00	29	66.23	-0.48	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J2007+20	4.634	--	67	20:07	20:21	59.72	-6.41	--	--	--	3.6	--	--	--	--	--	--	--	--	GBT350
J2033+00	5.013	--	37.84	20:33:31	00:42:23	45.14	-22.43	--	--	--	2.3	--	--	140	--	--	38	--	--	BS10
J2105+6223	2.305	5	50.75	21:05:13	62:23:05	99.79	10.18	--	12.53	6.87	2.6	--	--	--	--	--	--	--	--	GBNCC
J2225+35	0.94	--	51.8	22:24:48	35:30	91.85	-18.89	9.2	--	--	3.1	--	--	--	0.56	--	--	--	--	SK
J2311+67	1.945	--	97.1	23:11	67:05:00	113.37	6.1	60	--	--	3.4	--	--	--	--	--	--	--	--	GBNCC
J2325-0530	0.869	1.029	14.97	23:25:15	-05:30:39	75.58	-60.2	--	11.98	7.11	0.7	--	--	--	--	--	--	--	--	GBT350
